Name_EN,Nom_FR,SubClass_EN,SousClasse_FR,PharmacologicalClass_EN,ClassePharmacologique_FR,Act,Schedule,Item,Subitem,Line,Subline
"(1-pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-methanone","(1-pentyl-1H-indol-3-yl)(2,2,3,3-tétraméthylcyclopropyl)-méthanone",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,6,i
(1-Pentyl-1H-indol-3-yl)(pyridin-3-yl)methanone,(1-Pentyl-1H-indol-3-yl)(pyridin-3-yl)methanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
(1-pentyl-1H-indol-3-yl)piperazin-1-yl)methanone,(1-pentyl-1H-indol-3-yl)piperazin-1-yl)methanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
(2-Bromoethyl)benzene,(2-Bromoéthyl)benzène,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
"(E)-3,4,4-trimethyl-1-(1-(2-morpholinoethyl)-1H-indol-3-yl)pent-2-en-1-one","(E)-3,4,4-trimethyl-1-(1-(2-morpholinoethyl)-1H-indol-3-yl)pent-2-en-1-one",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"1-(2H-1,3-benzodioxol-5-yl)-2-(ethylamino)pentan-1-one","1-(2H-1,3-benzodioxol-5-yl)-2-(éthylamino)pentan-1-one",Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,12,
1-(2-thienyl)-2-(methylamino)propane,1-(2-thiényl)-2-(méthylamino)propane,Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,18,,,
"1-(3,4-dichlorobenzamidomethyl)cyclohexyldimethylamine","(dichloro-3,4 benzamide méthyl)-1 cyclohexyl diméthylamine",Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,23,,,
"1-(3,4-methylenedioxyphenyl)-2-propanol","1-(3,4-méthylènedioxyphényl)-2-propanol",Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,4,
1-(4-cyanobutyl)-N-(1-methyl-1-phenylethyl)-1H-indazole-3-carboxamide,1-(4-cyanobutyl)-N-(1-méthyl-1-phényléthyl)-1H-indazole-3-carboxamide,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,,
1-(4-Fluorophenyl)piperazine,(4-fluorophényl)-1 pipérazine,Arylpiperazines & benzylpiperazines,Arylpipérazines  & benzylpipérazines,Stimulants,Stimulants,OT,,,,,
1-(5-fluoropentyl)-3-(1-naphthoyl)indole,1-(5-fluoropentyl)-3-(1-naphthoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,2,xii
1-(5-fluoropentyl)-3-(2-ethylbenzoyl)indole,1-(5-fluoropentyl)-3-(2-ethylbenzoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-(5-fluoropentyl)-3-(2-methylbenzoyl)indole,1-(5-fluoropentyl)-3-(2-methylbenzoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-(5-fluoropentyl)-3-(4-ethyl-1-naphthoyl)indole,1-(5-fluoropentyl)-3-(4-éthyl-1-naphthoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,2,xiv
1-(5-fluoropentyl)-8-quinolinyl ester-1H-indole-3-carboxylic acid,acide 1-(5-fluoropentyl)-8-quinolinyl ester-1H-indole-3-carboxylique,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,7,ii
"1-(cyclohexylmethyl)-2-(4-ethoxybenzyl)-N,N-diethyl-1H-benzo[d]imidazole-5-carboxamide","1-(cyclohexylmethyl)-2-(4-ethoxybenzyl)-N,N-diethyl-1H-benzo[d]imidazole-5-carboxamide",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"1-(fluoropentyl)-N-(tricyclo[3.3.1.13,7]dec-1-yl)-1H-indazole-3-carboxamide","1-(fluoropentyl)-N-(tricyclo[3.3.1.13,7]déc-1-yl)-1H-indazole-3-carboxamide",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,OT,,,,,
1-(Phenylmethyl)-1H-indole-3-carboxylic acid 8-quinolinyl ester,1-(Phenylmethyl)-1H-indole-3-carboxylic acid 8-quinolinyl ester,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"1,4-Butanediol","Butane-1,4-diol",GHB & its prodrugs,GHB & ses prodrogues,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,VI,19,,,
"1,4-Dibenzylpiperazine","dibenzyl-1,4 pipérazine",Arylpiperazines & benzylpiperazines,Arylpipérazines  & benzylpipérazines,Stimulants,Stimulants,OT,,,,,
1-[1-(2-Thienyl) cyclohexyl]piperidine,[(Thiényl-2)-1 cyclohexyl]-1 pipéridine,PCP & analogues,PCP & analogues,Dissociatives,Dissociatifs,CD,III,14,,,
1-Adamantyl-THPINACA,1-Adamantyl-THPINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-Benzyl-N-(quinolin-8-yl)-1H-indazole-3-carboxamide,1-Benzyl-N-(quinolin-8-yl)-1H-indazole-3-carboxamide,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-Benzyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,1-Benzyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-butyl-3-(1-naphthoyl)indole,1-butyl-3-(1-naphthoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,2,ii
"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine","cyclohexyl-1(diphényl-1,2-éthyl)-4 pipérazine",Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,24,,,
1-pentyl-1H-indazole-3-carboxylic acid,1-pentyl-1H-indazole-3-carboxylic acid,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-pentyl-3-(1-naphthoyl)indole,1-pentyl-3-(1-naphthoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,2,i
1-pentyl-3-(2-methoxyphenylacetyl)indole,1-pentyl-3-(2-méthoxyphénylacétyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,4,i
1-pentyl-3-(4-methyl-1-naphthoyl)indole,1-pentyl-3-(4-méthyl-1-naphthoyl)indole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,2,iii
1-pentyl-N-(2-phenylpropan-2-yl)-1H-indole-3-carboxamide,1-pentyl-N-(2-phenylpropan-2-yl)-1H-indole-3-carboxamide,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-Pentyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,1-Pentyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
1-Phenyl-2-nitropropene,1-phényl-2-nitropropène,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
1-Phenyl-2-propanone,Phényl-1 propanone-2,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,VI,11,,,
2-(3-methoxyphenyl)-1-(1-pentyl-indol-3-yl)methanone,2-(3-methoxyphenyl)-1-(1-pentyl-indol-3-yl)methanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
2-(ethylamino)-1-phenylhexan-1-one,2-(éthylamino)-1-phénylhexan-1-one,Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,2,
2-(ethylamino)-2-(fluorophenyl)cyclohexan-1-one,2-(éthylamino)-2-(fluorophényl)cyclohexan-1-one,Ketamine & analogues,Kétamine & analogues,Dissociatives,Dissociatifs,CD,I,14,,1,
2-(methylamino)-1-phenyl-1-pentanone,2-(méthylamino)-1-phényl-1-pentanone,Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,1,
"2,2'-difluorofentanyl","2,2'-difluorofentanyl",Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Acetophenetidin,Acétophénétidine,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
"2,5-Dimethoxyamphetamine","Diméthoxy-2,5 amphétamine",Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,5,
"2,5-dimethoxyfentanyl","2,5-dimethoxyfentanyl",Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
"2-[(1S,3S)-3-hydroxycyclohexyl]-5-(2-methylnonan-2-yl)phenol","2-[(1S,3S)-3-hydroxycyclohexyl]-5-(2-methylnonan-2-yl)phenol",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
2-Chlorofentanyl,2-Chlorofentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
2-fluoro-ADB,2-fluoro-ADB,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
2-fluorobutyrfentanyl,2-fluorobutyrfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
2-Fluorodeschloroketamine,2-Fluorodeschlorokétamine,Ketamine & analogues,Kétamine & analogues,Dissociatives,Dissociatifs,CD,I,14,,1,
2-fluorofuranylfentanyl,2-fluorofuranylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
2F-viminol,2F-viminol,Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
"2-Methyl-1H-isoindole-1,3(2H)-dione","2-Méthyl-1H-isoindole-1,3(2H)-dione",Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
2-Methylamino-1-phenyl-1-propanone,Méthylamino-2 phényl-1 propanone-1,Cathinones,Cathinones,Stimulants,Stimulants,CD,III,21,,,
2-thiophenefentanyl,2-thiophenefentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
"3-(1,2-dimethylheptyl)-7,8,9,10-tetrahydro-6,6,9-trimethyl-6H-dibenzo[b,d]pyran-1-ol","3-(1,2-diméthylheptyl)-7,8,9,10-tétrahydro-6,6,9-triméthyl-6H-dibenzo[b,d]pyran-1-ol",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,CD,II,2,,1,iii
3-(4-Hydroxymethylbenzoyl)-1-pentylindole,3-(4-Hydroxymethylbenzoyl)-1-pentylindole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1H-indole","3-(5-Benzyl-1,3,4-oxadiazol-2-yl)-1-(2-morpholin-4-ylethyl)-1H-indole",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
3-(para-Methoxybenzoyl)-N-methylindole,3-(para-Methoxybenzoyl)-N-methylindole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"3,4,5-Trimethoxyamphetamine","Triméthoxy-3,4,5 amphétamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,I,19,,21,
"3,4-difluoro-U-47700","3,4-difluoro-U-47700",Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
"3',4'-dimethoxyfentanyl","3',4'-dimethoxyfentanyl",Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
"3,4-MDO-U-47700","3,4-MDO-U-47700",Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
"3,4-methylenedioxyamphetamine","Méthylènedioxy-3,4 amphétamine",Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,4,
"3,4-Methylenedioxy-N-benzylcathinone","3,4-Méthylènedioxy-N-benzylcathinone",Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,,
"3,4-methylenedioxy-N-ethylcathinone","3,4-méthylènedioxy-N-éthylcathinone",Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,12,
"3,4-methylenedioxy-N-methylcathinone","3,4-méthylènedioxy-N-méthylcathinone",Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,8,
"3,4-Methylenedioxyphenyl-2-propanone","Méthylènedioxyphényle-3,4 propanone-2",Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,VI,9,,,
3F-AMB,3F-AMB,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
3-fluoroisobutyrlfentanyl,3-fluoroisobutyrlfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-fluoromethoxyacetylfentanyl,3-fluoromethoxyacetylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-furanylfentanyl,3-furanylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-Methoxyphencyclidine,3-Méthoxyphencyclidine,PCP & analogues,PCP & analogues,Dissociatives,Dissociatifs,CD,I,14,,,
3'-methyl-4-fluoroisobutyrlfentanyl,3'-methyl-4-fluoroisobutyrlfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-methylbutyryl fentanyl,3-methylbutyryl fentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-Methylfentanyl,Méthyl-3 fentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,10,
3-methylfuranylfentanyl,3-methylfuranylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
3-Methylthiofentanyl,Méthyl–3 thiofentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,11,
4-anilino-1-boc-piperidine,4-anilino-1-boc-pipéridine,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,V,1,,1,
4-Anilino-N-phenethylpiperidine,4-Anilino-N-phénéthylpipéridine,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,I,16,14,5,
4-Anilino-N-phenethylpiperidine,4-Anilino-N-phénéthylpipéridine,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,I,16,,14,
"4-bromo-2,5-dimethoxyamphetamine","Bromo-4 diméthoxy-2,5 amphétamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,I,19,,14,
"4-bromo-2,5-dimethoxybenzeneethanamine","4-bromo-2,5-diméthoxybenzèneéthanamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,III,35,,4,
"4-bromo-2,5-dimethoxy-N-(2-methoxybenzyl)phenethylamine","4-bromo-2,5-diméthoxy-N-(2-méthoxybenzyle)phénéthylamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,III,35,,1,
"4-bromo-2,5-dimethoxyphenethylamine","Bromo-4 diméthoxy-2,5 phénéthylamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,OT,,,,,
"4-chloro-2,5-dimethoxy-N-(2-methoxybenzyl)phenethylamine","4-chloro-2,5-diméthoxy-N-(2-méthoxybenzyle)phénéthylamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,III,35,,2,
4-chloroethcathinone,4-chloroethcathinone,Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,2,
4-chloroisobutyrfentanyl,4-chloroisobutyrfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
4-chloromethcathinone,4-chlorométhcathinone,Cathinones,Cathinones,Stimulants,Stimulants,CD,I,18,,,
4-chloro-N-[1-[2-(4-nitrophenyl)ethyl]-2-piperidinylidene]benzenesulfonamide,4-chloro-N-[1-[2-(4-nitrophényl)éthyl]-2-pipéridinylidène]benzènesulfonamide,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,CD,I,25,,,
4CN-AB-BUTICA,4CN-AB-BUTICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4CN-AMB-BUTINACA,4CN-AMB-BUTINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"4-ethyl-2,5-dimethoxyamphetamine","Éthyl-4 diméthoxy-2,5 amphétamine",Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,13,
"4-ethyl-2,5-dimethoxybenzeneethanamine","4-éthyl-2,5-diméthoxybenzèneéthanamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,III,35,,,
4F-ABINACA,4F-ABINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4F-AB-PINACA,4F-AB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4F-AMB,4F-AMB,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4F-MDMB-BINACA 2'-indazole isomer,4F-MDMB-BINACA 2'-indazole isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4F-MN-24,4F-MN-24,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"4-Hydroxy-3,3,4-trimethyl-1-(1-pentyl-1H-indol-3-yl)pentan-1-one","4-Hydroxy-3,3,4-trimethyl-1-(1-pentyl-1H-indol-3-yl)pentan-1-one",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
4-hydroxybutanoic acid,Acide hydroxy-4 butanoïque,GHB & its prodrugs,GHB & ses prodrogues,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,I,21,,,
4-hydroxybutanoic acid lactone,Lactone de l'acide hydroxy-4 butanoïque,GHB & its prodrugs,GHB & ses prodrogues,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,OT,,,,,
4-Hydroxybutyrfentanyl,4-Hydroxybutyrfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
4-hydroxy-MPT (4-HO-MPT),4-hydroxy-MPT (4-HO-MPT),Tryptamines ,Tryptamines ,Hallucinogens,Hallucinogènes,,,,,,
"4-iodo-2,5-dimethoxy-N-(2-methoxybenzyl)phenethylamine","4-iodo-2,5-diméthoxy-N-(2-méthoxybenzyle)phénéthylamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,III,35,,3,
"4-Iodo-2,5-dimethoxyphenethylamine","Iodo-4 diméthoxy-2,5 phénéthylamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,OT,,,,,
4-Methoxybutyrfentanyl,4-Methoxybutyrfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
4-methyl cyclopropylfentanyl,4-methyl cyclopropylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
"4-methyl-2,5-dimethoxyamphetamine","méthyl-4 diméthoxy-2,5 amphétamine",Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,I,19,,3,
4–Methylaminorex,Méthyl–4 aminorex,Other stimulants,Autres stimulants,Stimulants,Stimulants,CD,III,27,,1,
4-methyl-N-ethylcathinone,4-méthyl-N-éthylcathinone,Cathinones,Cathinones,Stimulants,Stimulants,CD,I,19,,2,
4-Piperidone,4-Pipéridone,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,CD,VI,27,,,
5Br-AKB48,5Br-AKB48,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5-chloro-UR-144,5-chloro-UR-144,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5Cl-CUMYL-PEGACLONE,5Cl-CUMYL-PEGACLONE,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5Cl-MDMB-PINACA,5Cl-MDMB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5Cl-NNE1,5Cl-NNE1,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5Cl-PB-22,5Cl-PB-22,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"5F-3,5-AB-PFUPPYCA","5F-3,5-AB-PFUPPYCA",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-7-APAICA,5F-7-APAICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-AB-001,5F-AB-001,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-AB-FUPPYCA,5F-AB-FUPPYCA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-ABICA,5F-ABICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-AB-P7AICA,5F-AB-P7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
